Species	Status	min_age	max_age
Kayentapus	extinct	199.3	208.5
Psittacosaurus_xinjiangensis	extinct	100.5	145
Grallator_(Eubrontes)	extinct	100.5	113
Caririchnium	extinct	100.5	113
Caririchnium	extinct	100.5	113
Grallator_(Eubrontes)	extinct	208.5	228
Grallator_(Eubrontes)	extinct	174.1	201.3
Grallator_(Eubrontes)	extinct	174.1	201.3
Dinosauria	extinct	174.1	201.3
Carnosauria	extinct	139.8	145
Dinosauria	extinct	139.8	145
Brontopodus_birdi	extinct	109	112.03
Morus_lompocanus	extinct	7.246	11.62
Sula_willetti	extinct	7.246	11.62
Morus_lompocanus	extinct	7.246	11.62
Mancallinae	extinct	7.246	11.62
Puffinus_calhouni	extinct	7.246	11.62
Vultur	extinct	7.246	11.62
Aves	extinct	7.246	11.62
Puffinus_calhouni	extinct	11.62	13.82
Osteodontornis_orri	extinct	11.62	13.82
Morus_lompocanus	extinct	11.62	13.82
Mancallinae	extinct	11.62	13.82
Aves	extinct	11.62	13.82
Aves	extinct	3.6	5.333
Aves	extinct	2.588	3.6
Gavia_concinna	extinct	2.588	3.6
Theropoda	extinct	145	150.8
Diplodocidae	extinct	145	150.8
Ornithopoda	extinct	145	150.8
Pachyrhinosaurus_canadensis	extinct	66	83.5
Brontopodus_birdi	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Brontopodus_birdi	extinct	100.5	113
Nuthetes_destructor	extinct	140.2	145
Barilium_dawsoni	extinct	136.4	140.2
Hylaeosaurus_armatus	extinct	122.46	136.4
Hylaeosaurus_armatus	extinct	136.4	140.2
Tetanurae	extinct	190.8	199.3
Megalosauridae	extinct	190.8	199.3
Iguanodon_mantelli	extinct	109	125
Iguanodon	extinct	122.46	136.4
Iguanodon	extinct	122.46	136.4
Iguanodon	extinct	139.8	145
Owenodon_hoggii	extinct	140.2	145
Owenodon_hoggii	extinct	139.8	145
Owenodon_hoggii	extinct	139.8	145
Owenodon_hoggii	extinct	140.2	145
Owenodon_hoggii	extinct	145	152.1
Owenodon_hoggii	extinct	140.2	145
Echinodon_becklesii	extinct	140.2	145
Echinodon	extinct	140.2	145
Duriavenator_hesperis	extinct	167.7	171.6
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Brontosaurus_yahnahpin	extinct	145	157.3
Brontopodus_birdi	extinct	100.5	113
Brontopodus_birdi	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Grallatoridae	extinct	100.5	113
Brontopodus_birdi	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Hypsilophodontidae	extinct	139.8	145
Velociraptorinae	extinct	139.8	145
Theropoda	extinct	139.8	145
Avialae	extinct	139.8	145
Somphospondyli	extinct	125	139.8
Hadrosauroidea	extinct	100.5	125
Iguanodontidae	extinct	100.5	125
Euhelopodidae	extinct	113	129.4
Euhelopodidae	extinct	139.8	152.1
Theropoda	extinct	145	157.3
Amblydactylus	extinct	93.9	100.5
Amblydactylus	extinct	93.9	100.5
Nedcolbertia_justinhoffmanni	extinct	125	129.4
Texasetes_pleurohalio	extinct	99.6	105.3
Eolambia_caroljonesa	extinct	93.5	105.3
Neoceratopsia	extinct	93.5	105.3
Neoceratopsia	extinct	100.5	113
Zuniceratops_christopheri	extinct	89.3	93.5
Zuniceratops_christopheri	extinct	89.3	93.5
Tetanurae	extinct	89.3	93.5
Hadrosauridae	extinct	89.3	93.5
Jeyawati_rugoculus	extinct	89.3	93.5
Caririchnium	extinct	93.5	99.6
Theropoda	extinct	105.3	109
Aves	extinct	100.5	125
Theropoda	extinct	105.3	109
Tetrapodosaurus	extinct	105.3	109
Tetrapodosaurus	extinct	105.3	109
Irenichnites_gracilis	extinct	105.3	109
Irenesauripus_mclearni	extinct	105.3	109
Tetrapodosaurus_borealis	extinct	105.3	109
Tetrapodosaurus	extinct	105.3	109
Dinosauria	extinct	105.3	109
Tetrapodosaurus	extinct	105.3	109
Enantiornithes	extinct	83.6	86.3
Achelousaurus_horneri	extinct	70.6	83.5
Tenontosaurus_tilletti	extinct	100.5	113
Deinonychus	extinct	100.5	113
Gasparinisaura_cincosaltensis	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Grallatoridae	extinct	100.5	113
Brontopodus_birdi	extinct	100.5	113
Iguanodontidae	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Psittacosaurus_meileyingensis	extinct	113	125
Psittacosaurus_meileyingensis	extinct	113	125
Psittacosaurus_meileyingensis	extinct	113	125
Psittacosaurus_mongoliensis	extinct	113	125
Agujaceratops_mariscalensis	extinct	70.6	83.5
Agujaceratops_mariscalensis	extinct	70.6	83.5
Agujaceratops_mariscalensis	extinct	70.6	83.5
Ornithomimus_edmontonicus	extinct	66	70.6
Ornithomimus_edmontonicus	extinct	66	70.6
Ornithomimidae	extinct	66	70.6
Ornithomimus_edmontonicus	extinct	66	70.6
Struthiomimus	extinct	66	70.6
Struthiomimus_altus	extinct	72.1	83.6
Struthiomimus_altus	extinct	70.6	83.5
Corythosaurus_casuarius	extinct	70.6	83.5
Struthiomimus_altus	extinct	72.1	83.6
Struthiomimus_altus	extinct	72.1	83.6
Struthiomimus_altus	extinct	70.6	83.5
Struthiomimus_altus	extinct	72.1	83.6
Struthiomimus_altus	extinct	70.6	83.5
Struthiomimus_altus	extinct	72.1	83.6
Ornithomimus_edmontonicus	extinct	70.6	83.5
Ornithomimus_edmontonicus	extinct	70.6	83.5
Daspletosaurus_torosus	extinct	72.1	83.6
Daspletosaurus_torosus	extinct	72.1	83.6
Gorgosaurus_libratus	extinct	72.1	83.6
Gorgosaurus_libratus	extinct	72.1	83.6
Albertosaurus_sarcophagus	extinct	72.1	83.6
Styracosaurus_albertensis	extinct	70.6	83.5
Theropoda	extinct	100.5	113
Grallator_tenuis	extinct	201.3	237
Eubrontes_sillimani	extinct	201.3	237
Chindesaurus_bryansmalli	extinct	208.5	228
Chindesaurus_bryansmalli	extinct	208.5	228
Chindesaurus_bryansmalli	extinct	215.56	221.5
Coelophysis_bauri	extinct	208.5	228
Theropoda	extinct	208.5	228
Saurischia	extinct	208.5	228
Theropoda	extinct	208.5	228
Dinosauria	extinct	208.5	228
Coelophysis_bauri	extinct	208.5	228
Coelophysis_bauri	extinct	208.5	228
Tyrannosauroidea	extinct	66	83.5
Macronaria	extinct	164.7	167.7
Cetiosaurus	extinct	166.1	168.3
Sauropoda	extinct	166.1	168.3
Sauropoda	extinct	164.7	167.7
Cetiosaurus_oxoniensis	extinct	166.1	168.3
Theropoda	extinct	100.5	113
Magnosaurus_nethercombensis	extinct	168.4	171.6
Eubrontes_glenrosensis	extinct	100.5	113
Eubrontes_glenrosensis	extinct	100.5	113
Brontopodus_birdi	extinct	100.5	113
Eubrontes_glenrosensis	extinct	100.5	113
Sauropoda	extinct	100.5	113
Eubrontes_glenrosensis	extinct	100.5	113
Sauropoda	extinct	100.5	113
Megalosaurus_bucklandii	extinct	168.3	170.3
Eubrontes_glenrosensis	extinct	100.5	113
Megalosaurus_bucklandii	extinct	168.3	170.3
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Theropoda	extinct	174.1	182.7
Megalosauropus_titanopelobatidus	extinct	100.5	113
Megalosaurus_bucklandii	extinct	164.7	167.7
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Megalosaurus_bucklandii	extinct	164.7	167.7
Theropoda	extinct	100.5	113
Megalosaurus	extinct	164.7	167.7
Eustreptospondylus_oxoniensis	extinct	161.2	164.7
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Metriacanthosaurus_parkeri	extinct	155.7	161.2
Ornithopsis	extinct	150.8	155.7
Theropoda	extinct	145	157.3
Mantellisaurus_atherfieldensis	extinct	122.46	125.45
Iguanodon	extinct	122.46	136.4
Iguanodon	extinct	122.46	136.4
Becklespinax_altispinax	extinct	122.46	136.4
Iguanodon	extinct	122.46	136.4
Megalosaurus	extinct	168.3	170.3
Megalosaurus	extinct	168.3	170.3
Ornithopsis_hulkei	extinct	125	139.8
Valdosaurus_canaliculatus	extinct	100.5	145
Barilium_dawsoni	extinct	136.4	140.2
Theropoda	extinct	100.5	113
Ornithopoda	extinct	93.9	100.5
Irenesauripus	extinct	100.5	113
Dinosauria	extinct	100.5	113
Irenesauripus_acutus	extinct	139.8	152.1
Theropoda	extinct	139.8	152.1
Anomoepus	extinct	139.8	152.1
Neoanomoepus_perigrinatus	extinct	139.8	152.1
Theropoda	extinct	132.9	145
Irenesauripus	extinct	113	129.4
Amblydactylus	extinct	113	129.4
Cetiosaurus_oxoniensis	extinct	166.1	168.3
Amblydactylus	extinct	100.5	113
Amblydactylus_kortmeyeri	extinct	100.5	125
Amblydactylus	extinct	100.5	125
Irenesauripus	extinct	100.5	125
Diplodocoidea	extinct	164.7	167.7
Cetiosaurus	extinct	122.46	136.4
Megalosaurus	extinct	161.2	164.7
Theropoda	extinct	145	152.1
Stegosauria	extinct	161.2	164.7
Dinosauria	extinct	163.5	166.1
Tetrapodosaurus	extinct	93.9	100.5
Columbosauripus_ungulatus	extinct	93.9	100.5
Tetrapodosaurus	extinct	93.9	100.5
Ankylosauria	extinct	93.9	100.5
Dinosauria	extinct	70.6	83.5
Iguanodon_bernissartensis	extinct	100.5	145
Hadrosauridae	extinct	70.6	83.5
Tyrannosauridae	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Hypselospinus_fittoni	extinct	136.4	140.2
Iguanodon	extinct	100.5	145
Dinosauria	extinct	70.6	83.5
Theropoda	extinct	70.6	83.5
Iguanodon	extinct	122.46	136.4
Iguanodon	extinct	122.46	136.4
Hadrosauridae	extinct	72.1	83.6
Dinosauria	extinct	72.1	83.6
Hadrosauridae	extinct	66	83.6
Theropoda	extinct	66	83.6
Iguanodon	extinct	122.46	136.4
Ankylosauria	extinct	66	83.6
Hadrosauridae	extinct	66	72.1
Iguanodon	extinct	122.46	136.4
Iguanodon	extinct	130	140.2
Theropoda	extinct	130	139.8
Iguanodontidae	extinct	136.4	140.2
Iguanodontidae	extinct	136.4	140.2
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Hypselospinus_fittoni	extinct	136.4	140.2
Barilium_dawsoni	extinct	125.45	136.4
Theropoda	extinct	136.4	140.2
Ornithomimosauria	extinct	130	140.2
Theropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Sauropoda	extinct	113	125
Theropoda	extinct	113	125
Duriatitan_humerocristatus	extinct	139.8	145
Amblydactylus	extinct	100.5	113
Tetanurae	extinct	122.46	125.45
Tetanurae	extinct	122.46	125.45
Sauropoda	extinct	122.46	125.45
Irenichnites_gracilis	extinct	100.5	113
Magnoavipes	extinct	100.5	113
Ornithomimosauria	extinct	122.46	125.45
Ankylosauria	extinct	122.46	125.45
Ornithischia	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops	extinct	66	72.1
Triceratops_prorsus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Triceratops_prorsus	extinct	66	72.1
Triceratops_horridus	extinct	66	72.1
Sauropoda	extinct	145	157.3
Sauropoda	extinct	145	157.3
Duriatitan_humerocristatus	extinct	145	157.3
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Jindongornipes_kimi	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Jindongornipes_kimi	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Uhangrichnus_chuni	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Theropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Ornithopoda	extinct	100.5	113
Sauropoda	extinct	100.5	113
Sauropoda	extinct	113	125
Herrerasaurus_ischigualastensis	extinct	228	237
Herrerasaurus_ischigualastensis	extinct	228	237
Herrerasaurus_ischigualastensis	extinct	208.5	228
Herrerasaurus_ischigualastensis	extinct	201.3	237
Herrerasaurus_ischigualastensis	extinct	208.5	228
Herrerasaurus_ischigualastensis	extinct	228	237
Herrerasaurus_ischigualastensis	extinct	208.5	237
Saurischia	extinct	228	237
Scelidosaurus	extinct	189.6	196.5
Troodontidae	extinct	113	129.4
Theropoda	extinct	152.1	157.3
Theropoda	extinct	152.1	157.3
Theropoda	extinct	152.1	157.3
Theropoda	extinct	152.1	157.3
Theropoda	extinct	152.1	157.3
Parabrontopodus	extinct	152.1	157.3
Camarasaurus	extinct	145	157.3
Camarasaurus	extinct	145	157.3
Brontosaurus_parvus	extinct	145	157.3
Camarasaurus	extinct	145	155.7
Preprismatoolithus_coloradensis	extinct	152.1	157.3
Dinosauria	extinct	83.6	86.3
Chasmosaurinae	extinct	66	70.6
Chasmosaurinae	extinct	66	70.6
Dinosauria	extinct	66	83.5
Theropoda	extinct	66	83.5
Dinosauria	extinct	66	83.5
Dinosauria	extinct	66	83.5
Dinosauria	extinct	66	83.5
Dinosauria	extinct	66	83.5
Grallator_limosus	extinct	199.3	201.3
Grallator_ssatoi	extinct	174.1	208.5
Grallator_ssatoi	extinct	145	163.5
Kayentapus_xiaohebaensis	extinct	199.3	201.3
Eubrontes_monax	extinct	199.3	201.3
Eubrontes_platypus	extinct	199.3	201.3
Eubrontes_xiyangensis	extinct	199.3	201.3
Theropoda	extinct	199.3	201.3
Anomoepus_tungchuanensis	extinct	163.5	174.1
Jialingpus_yuechiensis	extinct	145	163.5
Xiangxipus_chenxiensis	extinct	66	100.5
Xiangxipus_youngi	extinct	66	100.5
Hunanpus_jiuquwanensis	extinct	66	100.5
Cedarosaurus_weiskopfae	extinct	105.3	112.03
Dinosauropodes_bransfordii	extinct	72.1	83.6
Theropoda	extinct	125	129.4
Titanosauriformes	extinct	125	129.4
Camarasauridae	extinct	125	129.4
Theropoda	extinct	125	129.4
Theropoda	extinct	125	129.4
Dinosauria	extinct	125	129.4
Ovaloolithidae	extinct	125	129.4
Sauropoda	extinct	125	129.4
Titanosauridae	extinct	129.4	132.9
Sauroposeidon_proteles	extinct	112.03	122.46
Dinosauropodes_magrawii	extinct	72.1	83.6
Dinosauropodes_osborni	extinct	72.1	83.6
Hadrosauridae	extinct	72.1	83.6
Theropoda	extinct	72.1	83.6
Ankylosauria	extinct	72.1	83.6
Ornithomimus	extinct	66	72.1
Ornithomimus	extinct	66	70.6
Allosaurus_fragilis	extinct	145	157.3
Apatosaurus	extinct	145	157.3
Tyrannosaurus_rex	extinct	66	72.1
Tyrannosauridae	extinct	72.1	83.6
Tyrannosauridae	extinct	70.6	83.5
Tyrannosauroidea	extinct	70.6	83.5
Tetrapodosaurus_borealis	extinct	100.5	113
Theropoda	extinct	100.5	113
Aves	extinct	100.5	113
Neornithes	extinct	37.2	40.4
Tetrapodosaurus_borealis	extinct	100.5	113
Theropoda	extinct	100.5	113
Aves	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Irenesauripus_mclearni	extinct	100.5	113
Columbosauripus_ungulatus	extinct	100.5	113
Gypsichnites	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Tetrapodosaurus_borealis	extinct	100.5	113
Sinornithosaurus_millenii	extinct	122.46	130
Psittacosaurus	extinct	122.46	130
Confuciusornis	extinct	122.46	130
Spinosaurus_aegyptiacus	extinct	93.9	113
Sigilmassasaurus_brevicollis	extinct	93.9	113
Carcharodontosaurus	extinct	93.9	113
Carcharodontosaurus_saharicus	extinct	93.9	113
Abelisauridae	extinct	93.9	113
Abelisauridae	extinct	93.9	113
Theropoda	extinct	93.9	113
Saurischia	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Abelisauroidea	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Theropoda	extinct	93.9	113
Rebbachisaurus_garasbae	extinct	93.9	113
Rebbachisaurus	extinct	93.9	113
Titanosauriformes	extinct	93.9	113
Sauropoda	extinct	93.9	113
Sauropoda	extinct	139.8	145
Shixingoolithus_erbeni	extinct	66	100.5
Hadrosauridae	extinct	66	72.1
Pachyrhinosaurus	extinct	66	72.1
Dinosauria	extinct	132.9	145
Ceratosaurus	extinct	145	155.7
Amblydactylus	extinct	113	125
Ornithopoda	extinct	113	125
Tenontosaurus_dossi	extinct	112.03	122.46
Dromaeosauridae	extinct	112.03	122.46
Stegoceras	extinct	66	72.1
Pachycephalosaurus_wyomingensis	extinct	66	72.1
Hadrosauridae	extinct	66	89.3
Hadrosaurinae	extinct	70.6	83.5
Herrerasaurus_ischigualastensis	extinct	208.5	228
Aeolosaurus_colhuehuapensis	extinct	66	83.6
Hadrosauridae	extinct	66	83.6
Spheroolithidae	extinct	66	100.5
Dinosauria	extinct	66	100.5
Dromaeosauridae	extinct	85.8	93.5
Faveoloolithidae	extinct	66	100.5
Dinosauria	extinct	66	100.5
Dinosauria	extinct	66	100.5
Dinosauria	extinct	66	100.5
Mamenchisauridae	extinct	145	174.1
Ornithischia	extinct	85.8	93.5
Alvarezsauridae	extinct	85.8	93.5
Theropoda	extinct	145	157.3
Sauropoda	extinct	145	157.3
Theropoda	extinct	145	157.3
Parabrontopodus_mcintoshi	extinct	145	157.3
Theropoda	extinct	145	157.3
Sauropoda	extinct	145	157.3
Theropoda	extinct	145	157.3
Sauropoda	extinct	145	157.3
Theropoda	extinct	157.3	164.7
Dinosauria	extinct	145	157.3
Dinosauria	extinct	145	201.3
Ornithischia	extinct	66	72.1
Sauropoda	extinct	66	72.1
Ornithischia	extinct	66	72.1
Hadrosauridae	extinct	66	72.1
Ceratopsidae	extinct	66	72.1
Prismatoolithus_hukouensis	extinct	66	72.1
Prismatoolithus_gebiensis	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Nanortyx_inexpectatus	extinct	33.9	37.2
Paractitis	extinct	33.9	37.2
Neococcyx	extinct	33.9	37.2
Brachiosaurus	extinct	145	155.7
Coelurosauria	extinct	166.1	170.3
Avialae	extinct	125	132.9
Dinosauria	extinct	190.8	201.3
Ornithischia	extinct	66	72.1
Hadrosauridae	extinct	66	72.1
Dinosauria	extinct	93.5	105.3
Macroelongatoolithus_carlylei	extinct	93.5	105.3
Dinosauria	extinct	100.5	125
Talenkauen_santacrucensis	extinct	66	70.6
Faveoloolithus	extinct	72.1	86.3
Spheroolithus	extinct	72.1	86.3
Faveoloolithus	extinct	72.1	86.3
Spheroolithus	extinct	72.1	86.3
Spheroolithus	extinct	72.1	86.3
Faveoloolithus	extinct	72.1	86.3
Grallator_cuneatus	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Grallator_(Anchisauripus)_hitchcocki	extinct	190.8	201.3
Anchisauripus_tuberosus	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Otozoum_minus	extinct	190.8	201.3
Eubrontes_giganteus	extinct	190.8	201.3
Eubrontes_(Brontozoum)_approximatus	extinct	190.8	201.3
Grallator_(Eubrontes)_divaricatus	extinct	190.8	201.3
Anomoepus_crassus	extinct	190.8	201.3
Grallator_(Anchisauripus)_minusculus	extinct	190.8	201.3
Grallator_cuneatus	extinct	199.3	201.3
Grallator_formosus	extinct	199.3	201.3
Stenonyx_lateralis	extinct	199.3	201.3
Anchisauripus_tuberosus	extinct	199.3	201.3
Eubrontes_sillimani	extinct	199.3	201.3
Grallator_(Anchisauripus)_hitchcocki	extinct	199.3	201.3
Anchisauripus_tuberosus	extinct	199.3	201.3
Eubrontes_cursorius	extinct	199.3	201.3
Eubrontes_giganteus	extinct	199.3	201.3
Grallator_(Eubrontes)_divaricatus	extinct	199.3	201.3
Eubrontes_tuberatus	extinct	199.3	201.3
Eubrontes_(Brontozoum)_approximatus	extinct	199.3	201.3
Gigandipus_caudatus	extinct	199.3	201.3
Eubrontes_fieldi	extinct	199.3	201.3
Anomoepus_curvatus	extinct	199.3	201.3
Anomoepus_gracillimus	extinct	199.3	201.3
Kayentapus_minor	extinct	199.3	201.3
Sauropus_barrattii	extinct	199.3	201.3
Eubrontes_lyellii	extinct	199.3	201.3
Anomoepus_intermedius	extinct	199.3	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Grallator_gracilis	extinct	190.8	201.3
Grallator_formosus	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Eubrontes_tuberatus	extinct	190.8	201.3
Anchisauripus_exsertus	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Anomoepus_scambus	extinct	190.8	201.3
Anomoepus_intermedius	extinct	190.8	201.3
Anomoepus_curvatus	extinct	190.8	201.3
Anomoepus_minimus	extinct	190.8	201.3
Apatichnus_circumagens	extinct	190.8	201.3
Sauropus_barrattii	extinct	190.8	201.3
Steropoides_ingens	extinct	190.8	201.3
Spheroolithus_albertensis	extinct	70.6	83.5
Spheroolithus_albertensis	extinct	70.6	83.5
Anomoepus_isodactylus	extinct	190.8	201.3
Steropoides_divaricatus	extinct	190.8	201.3
Anticheiropus_pilulatus	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Otozoum_moodii	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Grallator_formosus	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Grallator_(Anchisauripus)_minusculus	extinct	190.8	201.3
Anomoepus_scambus	extinct	190.8	201.3
Kayentapus_minor	extinct	190.8	201.3
Anchisauripus_tuberosus	extinct	190.8	201.3
Anomoepus_gracillimus	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Grallator_(Eubrontes)	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Grallator_tenuis	extinct	190.8	201.3
Grallator_gracilis	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Eubrontes_giganteus	extinct	190.8	201.3
Grallator_(Anchisauripus)_hitchcocki	extinct	190.8	201.3
Anchisauripus_tuberosus	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Grallator_(Anchisauripus)_minusculus	extinct	190.8	201.3
Anomoepus_gracillimus	extinct	190.8	201.3
Grallator_(Eubrontes)	extinct	190.8	201.3
Lagunculapes_latus	extinct	190.8	201.3
Sillimanius_tetradactylus	extinct	190.8	201.3
Sillimanius_gracilior	extinct	190.8	201.3
Platypterna_deanii	extinct	190.8	201.3
Platypterna_concamerata	extinct	190.8	201.3
Platypterna_digitigrada	extinct	190.8	201.3
Steropoides_diversus	extinct	190.8	201.3
Steropoides_infelix	extinct	190.8	201.3
Steropoides_uncus	extinct	190.8	201.3
Corvipes_lacertoideus	extinct	190.8	201.3
Harpedactylus_tenuissimus	extinct	190.8	201.3
Xiphopeza_triplex	extinct	190.8	201.3
Grallator_tenuis	extinct	190.8	201.3
Grallator_gracilis	extinct	190.8	201.3
Grallator_cuneatus	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Eubrontes_(Brontozoum)_approximatus	extinct	190.8	201.3
Anomoepus_scambus	extinct	190.8	201.3
Anomoepus_intermedius	extinct	190.8	201.3
Anomoepus_gracillimus	extinct	190.8	201.3
Anomoepus_minimus	extinct	190.8	201.3
Kayentapus_minor	extinct	190.8	201.3
Apatichnus_circumagens	extinct	190.8	201.3
Platypterna_concamerata	extinct	190.8	201.3
Selenichnus_breviusculus	extinct	190.8	201.3
Grallator_tenuis	extinct	190.8	201.3
Grallator_formosus	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Anomoepus_intermedius	extinct	190.8	201.3
Grallator_cuneatus	extinct	190.8	201.3
Sillimanius_tetradactylus	extinct	190.8	201.3
Eubrontes_giganteus	extinct	190.8	201.3
Grallator_(Anchisauripus)_minusculus	extinct	190.8	201.3
Pasquiaornis_hardiei	extinct	93.5	99.6
Pasquiaornis_tankei	extinct	93.5	99.6
Ichthyornis	extinct	93.5	99.6
Enantiornithes	extinct	93.5	99.6
Hesperornithiformes	extinct	93.5	99.6
Ornithischia	extinct	93.5	99.6
Preprismatoolithus_coloradensis	extinct	152.1	157.3
Aves	extinct	152.1	157.3
Eubrontes_giganteus	extinct	190.8	201.3
Grallator_formosus	extinct	190.8	201.3
Tarsoplectrus_elegans	extinct	190.8	201.3
Argoides_minimus	extinct	190.8	201.3
Argoides_macrodactylus	extinct	190.8	201.3
Platypterna_tenuis	extinct	190.8	201.3
Grallator_tenuis	extinct	190.8	201.3
Platypterna_deanii	extinct	190.8	201.3
Eubrontes_cursorius	extinct	190.8	201.3
Eubrontes_sillimani	extinct	190.8	201.3
Anchisauripus_tuberosus	extinct	190.8	201.3
